GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ms-empresas,com.proyecto.ms_empresas,OpenApiConfig,26,0,0,0,7,0,2,0,2,0
ms-empresas,com.proyecto.ms_empresas.service,EmpresaService,0,274,2,18,0,57,2,16,0,8
